"ObjectID,N,9,0","FacilityID,N,9,0","FacilityRa,N,9,0","Name,C,128","IncidentCu,N,9,0","FacilityCu,N,9,0","IncidentID,N,9,0","Total_Leng,N,19,11"
1,1,1,Location 1 - Location 1,2,2,1,0
2,38,2,Location 1 - Location 38,2,2,1,1388.12846806
3,60,3,Location 1 - Location 60,1,2,1,2680.83024973
4,59,4,Location 1 - Location 59,1,2,1,3155.17753949
5,36,5,Location 1 - Location 36,1,2,1,4722.60845527
6,42,6,Location 1 - Location 42,1,2,1,4727.41032499
7,20,7,Location 1 - Location 20,1,1,1,5095.76064684
8,55,8,Location 1 - Location 55,1,2,1,6222.46218544
9,16,9,Location 1 - Location 16,1,1,1,9086.72780521
10,45,10,Location 1 - Location 45,1,2,1,9867.86233124
11,46,11,Location 1 - Location 46,1,2,1,10611.6396366
12,19,12,Location 1 - Location 19,1,1,1,11719.1827315
13,35,13,Location 1 - Location 35,1,1,1,12717.6097284
14,21,14,Location 1 - Location 21,1,2,1,14592.4376715
15,57,15,Location 1 - Location 57,1,2,1,14794.5932632
16,26,16,Location 1 - Location 26,1,2,1,15009.565267
17,56,17,Location 1 - Location 56,1,1,1,15602.1760185
18,22,18,Location 1 - Location 22,1,2,1,16022.2536684
19,13,19,Location 1 - Location 13,1,1,1,16173.8454319
20,7,20,Location 1 - Location 7,1,1,1,16876.5991467
21,28,21,Location 1 - Location 28,1,1,1,17096.7520458
22,10,22,Location 1 - Location 10,1,2,1,17132.6325228
23,23,23,Location 1 - Location 23,1,1,1,18731.3911075
24,52,24,Location 1 - Location 52,1,1,1,19881.8226545
25,33,25,Location 1 - Location 33,1,1,1,19882.2912947
26,4,26,Location 1 - Location 4,1,1,1,20182.4512185
27,5,27,Location 1 - Location 5,1,1,1,20348.7630309
28,25,28,Location 1 - Location 25,1,1,1,21236.4810056
29,48,29,Location 1 - Location 48,1,1,1,22121.0623566
30,43,30,Location 1 - Location 43,1,1,1,23178.9219528
31,30,31,Location 1 - Location 30,1,2,1,24202.955642
32,2,32,Location 1 - Location 2,1,1,1,24721.5769984
33,18,33,Location 1 - Location 18,1,2,1,25047.1726566
