TC,Latitude,Longitude,SiteID
Pella,3.299944444,33.25952778,121
Omiya-Anyima,3.266805556,33.21041667,122
Labworomor,3.243388889,33.18138889,123
Tesobar,3.259166667,33.15386111,124
Gudi PÍOryem,3.268916667,33.20883333,125
Namokora,3.347361111,33.33730556,126
Lapana,3.317277778,33.29027778,127
Orom A,3.400194444,33.46955556,128
Orom B,3.399722222,33.46697222,129
Ladotonen,3.444083333,33.38666667,130
Wang-Lobo,2.646833333,32.60533333,131
Lalog-Wiya-Nono,2.633333333,32.56527778,132
Awere,2.687,32.78508333,133
Acet,2.685972222,32.65536111,134
Binya,2.740527778,32.66658333,135
Ora Pwoyo,2.738361111,32.61719444,136
Odek,2.680833333,32.72772222,137
Loyo Ajonga,2.750111111,32.54836111,138
Lower Opit,2.614777778,32.47736111,139
Wia-Gweng,2.632722222,32.52063889,140
Lawaya-Lobo-Oloyi,2.675694444,32.45502778,141
Awoo,2.528527778,32.41263889,142
Atyang,2.629916667,32.36766667,143
Opit,2.610833333,32.47533333,144
