District,SubCounty,Parish,Village,SiteID,phase_1,group,games,LatD,LatM,LatS,LongD,LongM,LongS,revised,Latitude,Longitude,PopDate,Pop,HH
Gulu,Lakwana,Lanenober,Akeca,1,1,0,0,2,36,38.3,32,22,41.8,,2.610638889,32.37827778,30-Aug-08,298,57
Gulu,Lakwana,Lanenober,Keto,2,0,0,1,2,37,56.3,32,25,10.3,,2.632305556,32.41952778,30-Aug-08,565,103
Gulu,Lakwana,Lujorongole,Atyang,3,0,0,0,2,37,47,32,22,13,,2.629722222,32.37027778,30-Aug-08,1452,216
Gulu,Lakwana,Lujorongole,Labuje,4,1,1,0,2,39,28,32,24,54,1,2.657777778,32.415,30-Aug-08,647,108
Gulu,Lakwana,Lujorongole,Lagwedola,7,0,0,1,2,38,8,32,21,25,,2.635555556,32.35694444,29-Jan-08,300,60
Gulu,Lakwana,Lujorongole,Lamin Opabo,5,0,0,0,2,40,46.2,32,24,47.7,,2.6795,32.41325,30-Aug-08,722,120
Gulu,Lakwana,Lujorongole,Te Opok,6,0,0,0,2,39,58,32,24,46.7,,2.666111111,32.41297222,30-Aug-08,435,62
Gulu,Lakwana,Parak,Abura Amwonya,8,0,0,0,2,33,3,32,26,15,1,2.550833333,32.4375,30-Aug-08,447,59
Gulu,Lakwana,Parak,Bur Kweyo,9,0,0,0,2,31,41,32,25,38,1,2.528055556,32.42722222,22-Apr-08,600,120
Gulu,Lakwana,Parak,Obir,12,0,0,1,2,33,4.4,32,24,50.5,,2.551222222,32.41402778,30-Aug-08,440,95
Gulu,Lakwana,Parak,Ocok Can,10,0,0,1,2,32,25.5,32,25,39,,2.540416667,32.4275,30-Aug-08,803,150
Gulu,Lakwana,Parak,Olula,11,0,0,0,2,33,4.3,32,24,50.7,,2.551194444,32.41408333,30-Aug-08,454,96
Gulu,Lakwana,Parak,Te ilwa,13,1,0,0,2,32,16.5,32,24,59.3,,2.537916667,32.41647222,30-Aug-08,711,158
