"ObjectID,N,9,0","Name,C,128","OriginID,N,9,0","Destinatio,N,9,0","Destinat_1,N,9,0","Total_Leng,N,19,11"
1,8 - 8,1,1,1,0
2,8 - 10,1,38,2,1689.39270239
3,8 - 13,1,55,3,3251.98962916
4,8 - 15,1,35,4,4283.83855662
5,8 - 17,1,59,5,4804.41305724
6,8 - 11,1,42,6,4833.31110967
7,8 - 12,1,36,7,4838.11296571
8,8 - 9,1,16,8,6170.09909821
9,8 - 18,1,60,9,6342.16452678
10,8 - 14,1,20,10,7677.15519032
11,8 - 16,1,45,11,8330.81285011
12,8 - 25,1,46,12,9074.58803646
13,8 - 38,1,57,13,13257.5297458
14,8 - 23,1,26,14,13453.0331141
15,8 - 2,1,19,15,14300.5753183
16,8 - 21,1,22,16,14550.0389389
17,8 - 37,1,13,17,14636.777985
18,8 - 4,1,21,18,17173.8302584
19,8 - 6,1,56,19,18183.5686054
20,8 - 26,1,52,20,18347.6052831
21,8 - 24,1,33,21,18348.0739241
22,8 - 35,1,4,22,18645.3728066
23,8 - 1,1,7,23,19457.9917326
24,8 - 5,1,28,24,19678.1446327
25,8 - 36,1,25,25,19699.4241228
26,8 - 3,1,10,26,19714.0254492
27,8 - 20,1,5,27,20167.0810583
28,8 - 22,1,48,28,20586.8487988
29,8 - 7,1,23,29,21312.7854043
30,8 - 29,1,43,30,21649.6513402
31,8 - 19,1,2,31,21815.6706024
32,8 - 28,1,30,32,22675.4299415
33,8 - 34,1,18,33,23522.7620532
34,8 - 53,1,51,34,27110.3133454
35,8 - 27,1,32,35,29352.0206944
36,8 - 31,1,27,36,29783.1502052
37,8 - 42,1,44,37,31312.9602676
38,8 - 45,1,53,38,32168.1671583
39,8 - 54,1,15,39,32511.1524703
40,8 - 44,1,3,40,32923.6378137
41,8 - 32,1,37,41,32963.3146941
42,8 - 30,1,14,42,35079.2506917
43,8 - 43,1,49,43,35745.7320733
44,8 - 60,1,47,44,36809.8328912
45,8 - 59,1,41,45,36876.5396322
46,8 - 57,1,29,46,36880.4228445
47,8 - 52,1,50,47,38907.765923
48,8 - 41,1,31,48,39040.3123323
49,8 - 39,1,34,49,39072.3717284
50,8 - 55,1,40,50,39605.1320843
51,8 - 51,1,17,51,39907.9744161
52,8 - 58,1,39,52,40590.4075046
53,8 - 56,1,24,53,41605.8056641
54,8 - 40,1,54,54,42017.0873551
55,8 - 49,1,11,55,45858.0413354
56,8 - 50,1,6,56,47242.7663311
57,8 - 47,1,8,57,47467.2120323
58,8 - 48,1,9,58,81760.8050595
59,8 - 46,1,12,59,84515.506377
60,8 - 101,1,119,60,143307.231981
61,8 - 98,1,64,61,143313.121884
62,8 - 97,1,61,62,147476.854205
63,8 - 110,1,109,63,147946.364618
64,8 - 99,1,73,64,148276.947079
65,8 - 74,1,97,65,148390.349402
66,8 - 114,1,84,66,148813.025003
67,8 - 107,1,94,67,149986.459102
68,8 - 109,1,108,68,150032.639833
69,8 - 100,1,88,69,150265.525882
70,8 - 108,1,105,70,151631.412719
71,8 - 103,1,79,71,151853.866145
72,8 - 115,1,90,72,152074.428436
73,8 - 113,1,67,73,152178.878754
74,8 - 116,1,95,74,154144.93819
75,8 - 111,1,113,75,155634.550435
76,8 - 104,1,82,76,155854.847862
77,8 - 112,1,117,77,156254.135404
78,8 - 105,1,91,78,158126.77881
79,8 - 117,1,101,79,158642.257279
80,8 - 71,1,92,80,159252.538058
81,8 - 67,1,112,81,162466.787285
82,8 - 70,1,69,82,162843.976456
83,8 - 66,1,100,83,164866.970532
84,8 - 72,1,114,84,165408.666904
85,8 - 65,1,87,85,165437.735288
86,8 - 63,1,74,86,166801.069141
87,8 - 61,1,75,87,171881.048334
88,8 - 62,1,76,88,172194.419581
89,8 - 118,1,107,89,172502.327029
90,8 - 119,1,72,90,172562.742019
91,8 - 69,1,66,91,173021.347416
92,8 - 68,1,62,92,173362.690509
93,8 - 120,1,70,93,175605.480858
94,8 - 64,1,83,94,176445.207813
95,8 - 102,1,77,95,176502.879439
96,8 - 106,1,110,96,177312.95253
97,8 - 83,1,115,97,179706.741876
98,8 - 90,1,86,98,182952.816073
99,8 - 82,1,89,99,183156.587555
100,8 - 87,1,96,100,183444.54303
101,8 - 85,1,81,101,183475.45281
102,8 - 91,1,99,102,188876.310536
103,8 - 89,1,78,103,190102.730636
104,8 - 88,1,118,104,190218.851813
105,8 - 86,1,93,105,190395.307647
106,8 - 92,1,106,106,190404.952304
107,8 - 79,1,65,107,191055.930476
108,8 - 78,1,111,108,193523.62086
109,8 - 81,1,103,109,194128.202417
110,8 - 93,1,63,110,194262.495153
111,8 - 76,1,68,111,195245.125137
112,8 - 77,1,104,112,197943.98887
113,8 - 94,1,80,113,204385.219431
114,8 - 95,1,102,114,204484.778721
115,8 - 96,1,116,115,204964.910732
116,8 - 73,1,85,116,205961.905527
117,8 - 75,1,98,117,214302.708186
118,19 - 19,2,2,1,0
119,19 - 29,2,43,2,4508.7115847
120,19 - 28,2,30,3,4872.19561324
121,19 - 20,2,5,4,6712.56166716
122,19 - 21,2,22,5,7385.21543973
123,19 - 26,2,52,6,8158.23311677
124,19 - 24,2,33,7,8158.70175771
125,19 - 23,2,26,8,8362.63748827
126,19 - 22,2,48,9,10397.4766324
127,19 - 27,2,32,10,11548.7863661
128,19 - 37,2,13,11,12138.1281007
129,19 - 38,2,57,12,12569.852291
130,19 - 25,2,46,13,12747.4961109
131,19 - 16,2,45,14,13484.8577522
132,19 - 36,2,25,15,15485.6911039
133,19 - 35,2,4,16,16146.7229223
134,19 - 53,2,51,17,16920.941179
135,19 - 15,2,35,18,17531.8320457
136,19 - 14,2,20,19,18256.9458409
137,19 - 34,2,18,20,18425.2741095
138,19 - 31,2,27,21,19593.7780388
139,19 - 2,2,19,22,20317.7883269
140,19 - 18,2,60,23,21081.2085194
141,19 - 42,2,44,24,21123.5881012
142,19 - 8,2,1,25,21815.6706024
143,19 - 5,2,28,26,21848.8261153
144,19 - 45,2,53,27,21978.7949919
145,19 - 54,2,15,28,22321.780304
146,19 - 44,2,3,29,22734.2656473
147,19 - 32,2,37,30,22773.9425277
148,19 - 6,2,56,31,23343.4021426
149,19 - 4,2,21,32,23414.2143144
150,19 - 10,2,38,33,23505.0633047
151,19 - 12,2,36,34,23832.4627716
152,19 - 11,2,42,35,23837.2646276
153,19 - 30,2,14,36,24889.8785253
154,19 - 17,2,59,37,24938.1477498
155,19 - 13,2,55,38,25067.6602315
156,19 - 43,2,49,39,25556.3599069
157,19 - 1,2,7,40,25698.3757886
158,19 - 3,2,10,41,25954.4095052
159,19 - 60,2,47,42,26620.4607249
160,19 - 59,2,41,43,26687.1674658
161,19 - 57,2,29,44,26691.0506781
162,19 - 7,2,23,45,27553.1694603
163,19 - 9,2,16,46,27985.7697006
164,19 - 52,2,50,47,28718.3937567
165,19 - 41,2,31,48,28850.940166
166,19 - 39,2,34,49,28882.999562
167,19 - 55,2,40,50,29415.759918
168,19 - 51,2,17,51,29718.6022497
169,19 - 58,2,39,52,30401.0353382
170,19 - 56,2,24,53,31416.4334977
171,19 - 40,2,54,54,31827.7151887
172,19 - 49,2,11,55,35668.6691691
173,19 - 50,2,6,56,37053.3941647
174,19 - 47,2,8,57,37277.8398659
175,19 - 48,2,9,58,89534.8816485
176,19 - 46,2,12,59,92289.582966
177,19 - 101,2,119,60,133117.859815
178,19 - 98,2,64,61,133123.749718
179,19 - 99,2,73,62,136636.382026
180,19 - 100,2,88,63,136698.740314
181,19 - 97,2,61,64,137287.482039
182,19 - 110,2,109,65,137756.992452
183,19 - 74,2,97,66,138200.977236
184,19 - 114,2,84,67,138623.652837
185,19 - 107,2,94,68,139797.086936
186,19 - 109,2,108,69,139843.267666
187,19 - 108,2,105,70,141442.040553
188,19 - 103,2,79,71,141664.493979
189,19 - 115,2,90,72,141885.056269
190,19 - 113,2,67,73,141989.506588
191,19 - 116,2,95,74,143955.566024
192,19 - 111,2,113,75,145445.178269
193,19 - 104,2,82,76,145665.475696
194,19 - 112,2,117,77,146064.763238
195,19 - 105,2,91,78,147937.406644
196,19 - 117,2,101,79,148452.885113
197,19 - 71,2,92,80,149063.165892
198,19 - 67,2,112,81,152277.415119
199,19 - 70,2,69,82,152654.60429
200,19 - 66,2,100,83,154677.598366
201,19 - 72,2,114,84,155219.294738
202,19 - 65,2,87,85,155248.363122
203,19 - 63,2,74,86,156611.696974
204,19 - 61,2,75,87,161691.676167
205,19 - 62,2,76,88,162005.047415
206,19 - 118,2,107,89,162312.954862
207,19 - 119,2,72,90,162373.369852
208,19 - 69,2,66,91,162831.975249
209,19 - 68,2,62,92,163173.318343
210,19 - 120,2,70,93,165416.108692
211,19 - 64,2,83,94,166255.835646
212,19 - 102,2,77,95,166313.507272
213,19 - 106,2,110,96,167123.580364
214,19 - 83,2,115,97,169517.36971
215,19 - 90,2,86,98,172763.443907
216,19 - 82,2,89,99,172967.215389
217,19 - 87,2,96,100,173255.170863
218,19 - 85,2,81,101,173286.080643
219,19 - 91,2,99,102,178686.93837
220,19 - 89,2,78,103,179913.35847
221,19 - 88,2,118,104,180029.479647
222,19 - 86,2,93,105,180205.935481
223,19 - 92,2,106,106,180215.580137
224,19 - 79,2,65,107,180866.55831
225,19 - 78,2,111,108,183334.248693
226,19 - 81,2,103,109,183938.830251
227,19 - 93,2,63,110,184073.122987
228,19 - 76,2,68,111,185055.75297
229,19 - 77,2,104,112,187754.616704
230,19 - 94,2,80,113,194195.847264
231,19 - 95,2,102,114,194295.406554
232,19 - 96,2,116,115,194775.538565
233,19 - 73,2,85,116,195772.53336
234,19 - 75,2,98,117,204113.33602
235,44 - 44,3,3,1,0
236,44 - 45,3,53,2,2260.79991784
237,44 - 60,3,47,3,4058.8937
238,44 - 59,3,41,4,4125.60044091
239,44 - 57,3,29,5,4129.48365321
240,44 - 54,3,15,6,4327.42109943
241,44 - 52,3,50,7,6156.82673179
242,44 - 39,3,34,8,6321.43253716
243,44 - 42,3,44,9,7254.402704
244,44 - 51,3,17,10,7265.74384774
245,44 - 58,3,39,11,7839.46831338
246,44 - 56,3,24,12,8854.86647283
247,44 - 40,3,54,13,9093.44954147
248,44 - 43,3,49,14,9801.48636474
249,44 - 53,3,51,15,11281.3239115
250,44 - 55,3,40,16,11421.4007134
251,44 - 41,3,31,17,11979.1977668
252,44 - 22,3,48,18,12336.7890149
253,44 - 32,3,37,19,12665.2094033
254,44 - 49,3,11,20,13107.1021442
255,44 - 31,3,27,21,13954.1607712
256,44 - 50,3,6,22,14491.8271399
257,44 - 24,3,33,23,14575.5638896
258,44 - 26,3,52,24,14576.0325305
259,44 - 47,3,8,25,14716.2728411
260,44 - 21,3,22,26,18493.182651
261,44 - 30,3,14,27,19250.2612578
262,44 - 23,3,26,28,19470.6046996
263,44 - 20,3,5,29,21085.6761032
264,44 - 29,3,43,30,22568.2463851
265,44 - 19,3,2,31,22734.2656473
266,44 - 28,3,30,32,23594.0249865
267,44 - 25,3,46,33,23855.4633221
268,44 - 16,3,45,34,24592.8249635
269,44 - 37,3,13,35,24860.2557851
270,44 - 38,3,57,36,25291.9799754
271,44 - 15,3,35,37,28639.799257
272,44 - 35,3,4,38,28868.8506067
273,44 - 14,3,20,39,29364.9130522
274,44 - 36,3,25,40,29922.9019228
275,44 - 27,3,32,41,30270.6157393
276,44 - 2,3,19,42,31425.7555382
277,44 - 18,3,60,43,32189.1757307
278,44 - 8,3,1,44,32923.6378137
279,44 - 34,3,18,45,33746.2398533
280,44 - 4,3,21,46,34522.1815257
281,44 - 5,3,28,47,34570.9537997
282,44 - 10,3,38,48,34613.030516
283,44 - 12,3,36,49,34940.4299829
284,44 - 11,3,42,50,34945.2318389
285,44 - 6,3,56,51,35531.9198727
286,44 - 17,3,59,52,36046.1149611
287,44 - 13,3,55,53,36175.6274428
288,44 - 1,3,7,54,36806.3429999
289,44 - 3,3,10,55,37062.3767165
290,44 - 7,3,23,56,38661.1366716
291,44 - 9,3,16,57,39093.7369119
292,44 - 48,3,9,58,68389.6086194
293,44 - 46,3,12,59,71144.3099369
